gid,sign-in_arrowright,sign-in_backspace,sign-in_enter,sign-in_escape,sign-in_meta,sign-in_shift,sign-in_tab
06136989,0.0,0.0,0.0,0.0,0.0,6.0,2.0
06455365,0.0,0.0,2.0,2.0,0.0,6.0,2.0
07361069,0.0,2.0,2.0,0.0,0.0,6.0,2.0
07937433,0.0,0.0,0.0,0.0,0.0,6.0,2.0
08215655,0.0,0.0,0.0,0.0,0.0,8.0,2.0
11373995,0.0,0.0,2.0,0.0,0.0,6.0,4.0
11735094,0.0,0.0,2.0,0.0,0.0,6.0,6.0
20396922,0.0,0.0,0.0,0.0,0.0,8.0,2.0
22348149,0.0,0.0,2.0,0.0,0.0,6.0,2.0
24186470,0.0,0.0,1.0,0.0,0.0,6.0,2.0
24850428,0.0,0.0,0.0,0.0,0.0,6.0,2.0
26151014,0.0,0.0,0.0,0.0,0.0,6.0,2.0
27822106,0.0,0.0,2.0,0.0,0.0,6.0,2.0
31320854,0.0,2.0,0.0,0.0,2.0,12.0,4.0
32848205,0.0,0.0,0.0,0.0,0.0,6.0,4.0
36553401,0.0,0.0,2.0,0.0,0.0,6.0,4.0
37672251,0.0,0.0,2.0,0.0,2.0,10.0,2.0
41132968,0.0,0.0,0.0,0.0,0.0,4.0,2.0
43645963,0.0,0.0,0.0,0.0,0.0,6.0,2.0
44866482,0.0,0.0,0.0,0.0,0.0,8.0,4.0
46796470,0.0,10.0,0.0,0.0,0.0,6.0,2.0
47249469,0.0,0.0,0.0,0.0,0.0,6.0,2.0
47829696,0.0,2.0,2.0,0.0,0.0,8.0,2.0
49065918,0.0,8.0,0.0,0.0,0.0,6.0,2.0
49206998,0.0,0.0,2.0,0.0,0.0,8.0,2.0
50657367,0.0,0.0,1.0,0.0,0.0,6.0,2.0
52719395,0.0,0.0,2.0,0.0,0.0,6.0,2.0
55234539,0.0,4.0,2.0,0.0,0.0,8.0,2.0
62981988,0.0,0.0,0.0,0.0,0.0,6.0,2.0
63691684,0.0,0.0,0.0,0.0,0.0,6.0,2.0
64435211,0.0,0.0,2.0,0.0,0.0,6.0,2.0
66089135,0.0,0.0,0.0,0.0,0.0,6.0,2.0
66925421,0.0,2.0,0.0,0.0,0.0,6.0,2.0
67179600,0.0,0.0,2.0,0.0,0.0,6.0,4.0
69085394,0.0,0.0,2.0,0.0,0.0,6.0,2.0
69862002,0.0,0.0,2.0,0.0,0.0,6.0,6.0
70319959,0.0,2.0,0.0,0.0,0.0,6.0,2.0
71282205,2.0,0.0,2.0,0.0,0.0,10.0,8.0
73449257,0.0,0.0,0.0,0.0,0.0,6.0,2.0
75298995,0.0,0.0,2.0,0.0,0.0,6.0,4.0
75629502,0.0,0.0,2.0,0.0,0.0,8.0,2.0
77354846,0.0,0.0,2.0,0.0,0.0,6.0,2.0
80133055,0.0,0.0,2.0,0.0,0.0,6.0,2.0
80526374,0.0,0.0,0.0,0.0,0.0,6.0,2.0
86953121,0.0,0.0,0.0,0.0,0.0,6.0,2.0
90200985,0.0,0.0,0.0,0.0,0.0,6.0,2.0
92349043,0.0,0.0,0.0,0.0,0.0,6.0,2.0
92913167,0.0,4.0,2.0,0.0,0.0,6.0,2.0
94454555,0.0,0.0,0.0,0.0,0.0,6.0,2.0
95521006,0.0,0.0,2.0,0.0,0.0,6.0,2.0
96026476,0.0,0.0,0.0,0.0,0.0,6.0,2.0
98202857,0.0,0.0,0.0,0.0,0.0,6.0,2.0
98666584,0.0,0.0,2.0,0.0,0.0,6.0,6.0
98920046,0.0,0.0,0.0,0.0,0.0,6.0,2.0
99115562,0.0,0.0,0.0,0.0,0.0,6.0,2.0
99239641,0.0,2.0,2.0,0.0,0.0,6.0,2.0
99564560,0.0,0.0,0.0,0.0,0.0,6.0,2.0
